Company,Date,ESG Score,ESG Combined Score,ESG Controversies Score,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
A.N,10/31/2018,87.85535383,87.85535383,100,90,93.37349398,50,92.77456647,94.84536082,86.70520231,91.31736527,86.2802498,98.65339578,83.60148515
A.N,10/31/2017,86.63413562,86.63413562,100,92.85714286,89.16666667,50,93,91.21621622,89.33333333,92.80821918,85.8490566,82.91850662,83.87553041
A.N,10/31/2016,88.3765551,88.3765551,100,93.07692308,87.25490196,50,90.87591241,93.28358209,94.52554745,92.69230769,89.99139044,84.99784761,84.76923077
A.N,10/31/2015,78.47707115,78.47707115,100,78.44827586,90.625,50,88.58695652,81,89.67391304,90.22988506,64.0858209,76.77238806,84.91666667
A.N,10/31/2014,83.33390557,83.33390557,95.23809524,76.66666667,91.25,50,86.71875,82.89473684,89.84375,94.06779661,83.03941909,72.04356846,86.45640074
A.N,10/31/2013,76.80582065,76.80582065,100,84.04255319,91.66666667,50,92.96875,89.70588235,91.12903226,90.6779661,62.78467909,29.86542443,85.03649635
A.N,10/31/2012,77.15158176,77.15158176,100,90.42553191,96.42857143,50,94.53125,95,84.67741935,90.6779661,61.51859504,30.32024793,85.53113553
A.N,10/31/2011,77.89634322,77.89634322,89.28571429,90.2173913,96.34146341,50,91.40625,94.23076923,83.06451613,89.47368421,70.76530612,28.62244898,73.13575526
A.N,10/31/2010,75.02176947,75.02176947,100,75,96.25,50,91.79104478,85,79.85074627,92.37288136,57.36629667,56.05449041,76
A.N,10/31/2009,72.92268837,61.46134419,50,88.75,95.94594595,50,94.53125,79.41176471,63.28125,93.85964912,56.64589823,56.2305296,67.94582393
AAL.OQ,12/31/2018,61.50891036,36.18923779,10.86956522,73.57142857,50.67567568,0,92.44186047,56.14035088,91.27906977,32.46753247,70.27712724,91.93989071,77.72277228
AAL.OQ,12/31/2017,66.29231698,39.72510586,13.15789474,79.85074627,68.84057971,0,98.125,46.875,91.875,33.8028169,83.60096347,96.08590927,59.54738331
AAL.OQ,12/31/2016,64.27684631,64.0828676,63.88888889,67.5,68.03278689,0,97.91666667,52.56410256,90.97222222,36.29032258,83.87860525,75.52733534,59.76923077
AAL.OQ,12/31/2015,64.92530273,54.96265137,45,61.60714286,82.0754717,0,97.79411765,68.75,90.44117647,39.65517241,72.79228856,78.01616915,59.33333333
AAL.OQ,12/31/2014,51.31358085,51.31358085,84.09090909,46.875,83.69565217,50,83.03571429,12.5,72.32142857,30.39215686,19.65767635,65.71576763,70.12987013
AAL.OQ,12/31/2013,44.63411636,42.77160363,40.90909091,28.57142857,51.08695652,50,65.17857143,36,72.32142857,28.30188679,11.95652174,93.84057971,57.48175182
AAL.OQ,12/31/2012,43.17303823,30.28217129,17.39130435,52.04081633,84.375,0,69.44444444,41.66666667,50.92592593,30.18867925,9.555785124,75.87809917,69.87179487
AAL.OQ,12/31/2011,47.15199247,28.57599624,10,46.875,75.53191489,0,82.72727273,40.47619048,80.90909091,71.2962963,10.35714286,37.60204082,73.13575526
AAL.OQ,12/31/2010,64.15059953,45.82529977,27.5,58.5106383,86.73469388,0,83.03571429,38.88888889,88.18181818,77.77777778,80.57517659,59.68718466,76
AAL.OQ,12/31/2009,46.85635465,46.85635465,100,47.2972973,27.63157895,0,77.17391304,0,85.86956522,44.04761905,73.88369678,32.65835929,77.87810384
AAP.N,12/28/2019,43.96425691,43.96425691,100,15.57971014,48.84615385,8.955223881,49.73958333,69.6969697,66.14583333,64.8255814,16.33333333,77.94736842,40.03099174
AAP.N,12/29/2018,62.06345943,62.06345943,100,22.64957265,51.31578947,10.37735849,47.76536313,76.92307692,92.45810056,70.19230769,75.35128806,73.47775176,6.930693069
AAP.N,12/30/2017,53.77073205,53.77073205,100,24.76635514,45.04950495,9.574468085,56.40243902,79.29292929,69.51219512,30.51470588,61.76234444,79.74708952,39.74540311
AAP.N,12/31/2016,33.04421109,33.04421109,100,24.27184466,8.24742268,13.7254902,33.43949045,0,72.61146497,30.95238095,29.20792079,82.67326733,0
AAP.N,1/2/2016,29.75265611,29.75265611,100,23.11827957,7.303370787,13.95348837,17.8030303,0,91.22137405,26.73267327,14.58333333,86.59825871,0
AAP.N,1/3/2015,37.95832228,37.95832228,100,0,7.792207792,15.30612245,21.61016949,0,93.47826087,20.11494253,63.0186722,51.60788382,0
AAP.N,12/28/2013,45.21291255,45.21291255,100,0,5.405405405,18.75,21.12068966,0,92.47787611,18.90243902,82.34989648,86.18012422,0
AAP.N,12/29/2012,43.31612652,43.31612652,100,0,5.263157895,20,24.33628319,0,77.77777778,16.875,83.72933884,79.49380165,0
AAP.N,12/31/2011,45.3376512,45.3376512,100,0,25.37313433,21.59090909,24.76635514,0,76.66666667,15.2173913,84.23469388,86.8877551,0
AAP.N,1/1/2011,42.90862894,42.90862894,100,0,3.225806452,24.35897436,38.7254902,0,78.71287129,19.11764706,86.02421796,41.42280525,0
AAPL.OQ,9/29/2018,70.79169865,37.31892625,3.846153846,91.53846154,79.16666667,42.45283019,77.39726027,65.51724138,78.76712329,56.33802817,86.47540984,84.71896956,75.24752475
AAPL.OQ,9/30/2017,72.12628364,42.88132364,13.63636364,95.45454545,79.41176471,41.11111111,85.15625,61.2244898,89.0625,60.6557377,84.44399839,89.34162987,75.88401697
AAPL.OQ,9/24/2016,65.35173246,40.17586623,15,90.42553191,78.40909091,41.46341463,64.03508772,46.66666667,76.31578947,55.55555556,85.08394318,88.39862247,76.23076923
AAPL.OQ,9/26/2015,56.49059521,31.37029761,6.25,92.04545455,73.75,38.88888889,57.29166667,45,76.04166667,12.79069767,70.6778607,90.20522388,76.91666667
AAPL.OQ,9/27/2014,56.71773839,29.92136919,3.125,80.76923077,66.21621622,41.17647059,50,58.57142857,53.75,4.285714286,80.65352697,92.37551867,78.29313544
AAPL.OQ,9/28/2013,60.14269708,31.85706283,3.571428571,85.52631579,44.59459459,42.85714286,39.77272727,94.44444444,60.97560976,4.166666667,68.99585921,96.73913043,76.64233577
AAPL.OQ,9/29/2012,56.63912552,29.98622943,3.333333333,85.52631579,44.59459459,44.59459459,38.88888889,94.28571429,83.72093023,5.555555556,36.41528926,98.50206612,77.65567766
AAPL.OQ,9/24/2011,52.53575479,27.73846563,2.941176471,93.58974359,46.05263158,44.44444444,44.56521739,95.3125,93.02325581,5.128205128,6.581632653,85.86734694,81.35755258
AAPL.OQ,9/25/2010,59.98515844,31.46316745,2.941176471,96.15384615,59.21052632,42.64705882,47.77777778,94.82758621,73.86363636,9.210526316,52.32088799,91.27144299,59.9
AAPL.OQ,9/26/2009,60.89397755,35.13448878,9.375,83.33333333,44.64285714,45.45454545,25.86206897,89.13043478,67.85714286,5.357142857,84.57943925,92.78296989,63.20541761
ABBV.N,12/31/2018,75.92369073,46.2951787,16.66666667,85.11450382,75.79365079,8,96.21212121,87.70491803,91.16161616,90.05376344,52.4785324,60.51912568,73.88613861
ABBV.N,12/31/2017,80.31932441,80.31932441,88.37209302,82.71028037,66.50943396,14.28571429,93.03030303,88.1443299,90.60606061,89.52702703,80.38940185,59.3135287,74.96463932
