Company,Date,Total Long Term Debt,"Total Assets, Reported",Tangible Book Value Per Share,Net Income Before Taxes,Net Income After Taxes,Total Common Shares Outstanding,Revenue,Research And Development,"ROA Total Assets, Percent"
A.N,7/31/2020,2283000000.00,9546000000.00,1.61,219000000.00,199000000.00,309000000.00,1261000000.00,92000000.00,2.09
A.N,4/30/2020,1788000000.00,9455000000.00,0.86,121000000.00,101000000.00,308000000.00,1238000000.00,197000000.00,1.07
A.N,1/31/2020,1787000000.00,9501000000.00,0.65,219000000.00,197000000.00,310000000.00,1357000000.00,104000000.00,2.08
A.N,10/31/2019,1791000000.00,9452000000.00,0.16,231000000.00,194000000.00,309000000.00,1367000000.00,102000000.00,2.15
A.N,7/31/2019,1294000000.00,8625000000.00,3.64,222000000.00,191000000.00,310000000.00,1274000000.00,101000000.00,2.16
A.N,4/30/2019,1798000000.00,9022000000.00,4.65,218000000.00,182000000.00,316991000.00,1238000000.00,99000000.00,2.03
A.N,1/31/2019,1798000000.00,8952000000.00,4.20,248000000.00,504000000.00,318000000.00,1284000000.00,102000000.00,5.76
A.N,10/31/2018,1799000000.00,8541000000.00,3.47,244000000.00,214000000.00,318000000.00,1294000000.00,104000000.00,2.53
A.N,7/31/2018,1799000000.00,8349000000.00,3.50,242000000.00,236000000.00,319000000.00,1203000000.00,97000000.00,2.75
A.N,4/30/2018,1800000000.00,8784000000.00,5.22,227000000.00,205000000.00,322000000.00,1206000000.00,92000000.00,2.35
A.N,1/31/2018,1800000000.00,8698000000.00,4.79,233000000.00,213000000.00,322963000.00,1211000000.00,93000000.00,2.49
A.N,10/31/2017,1801000000.00,8426000000.00,5.79,226000000.00,177000000.00,322000000.00,1189000000.00,91000000.00,2.12
A.N,7/31/2017,1801000000.00,8261000000.00,5.03,193000000.00,175000000.00,322000000.00,1114000000.00,87000000.00,2.15
A.N,4/30/2017,1802000000.00,8016000000.00,4.46,191000000.00,164000000.00,321000000.00,1102000000.00,84000000.00,2.06
A.N,1/31/2017,1802000000.00,7872000000.00,4.11,193000000.00,168000000.00,322000000.00,1067000000.00,79000000.00,2.14
A.N,10/31/2016,1904000000.00,7794000000.00,4.04,151000000.00,126000000.00,324000000.00,1111000000.00,84000000.00,1.62
A.N,7/31/2016,1652000000.00,7734000000.00,4.25,134000000.00,124000000.00,324000000.00,1044000000.00,86000000.00,1.61
A.N,4/30/2016,1654000000.00,7640000000.00,3.43,117000000.00,91000000.00,325000000.00,1019000000.00,81000000.00,1.22
A.N,1/31/2016,1653000000.00,7302000000.00,3.21,142000000.00,121000000.00,328000000.00,1028000000.00,78000000.00,1.64
A.N,10/31/2015,1655000000.00,7479000000.00,4.08,143000000.00,143000000.00,332000000.00,1035000000.00,78000000.00,1.94
A.N,7/31/2015,1655000000.00,7251000000.00,3.77,128000000.00,113000000.00,332000000.00,1014000000.00,79000000.00,1.54
A.N,4/30/2015,1656000000.00,7412000000.00,3.91,96000000.00,92000000.00,333000000.00,963000000.00,81000000.00,1.23
A.N,1/31/2015,1658000000.00,7519000000.00,3.95,113000000.00,93000000.00,336000000.00,1026000000.00,88000000.00,1.01
A.N,10/31/2014,1663000000.00,10815000000.00,6.40,-22000000.00,8000000.00,335000000.00,1043000000.00,91000000.00,0.08
A.N,7/31/2014,2181000000.00,10380000000.00,5.61,85000000.00,63000000.00,333000000.00,1009000000.00,86000000.00,0.59
A.N,4/30/2014,2693000000.00,11026000000.00,5.21,69000000.00,40000000.00,333000000.00,988000000.00,87000000.00,0.37
A.N,1/31/2014,2695000000.00,10638000000.00,4.69,97000000.00,121000000.00,334000000.00,1008000000.00,88000000.00,1.13
A.N,10/31/2013,2699000000.00,10686000000.00,3.97,254000000.00,211000000.00,333000000.00,1718000000.00,173000000.00,-2.75
A.N,7/31/2013,2701000000.00,10278000000.00,2.56,212000000.00,168000000.00,331000000.00,1652000000.00,170000000.00,1.61
A.N,4/30/2013,2106000000.00,10587000000.00,3.78,198000000.00,166000000.00,345000000.00,1732000000.00,173000000.00,1.56
A.N,1/31/2013,2111000000.00,10653000000.00,3.48,195000000.00,179000000.00,347000000.00,1680000000.00,179000000.00,1.69
A.N,10/31/2012,2112000000.00,10536000000.00,3.10,256000000.00,425000000.00,346000000.00,1767000000.00,178000000.00,4.19
A.N,7/31/2012,1714000000.00,9757000000.00,2.40,238000000.00,243000000.00,348443140.00,1723000000.00,162000000.00,2.54
A.N,4/30/2012,1926000000.00,9413000000.00,7.86,293000000.00,255000000.00,347500870.00,1733000000.00,166000000.00,2.75
A.N,1/31/2012,1929000000.00,9099000000.00,7.15,256000000.00,230000000.00,347625240.00,1635000000.00,162000000.00,2.53
A.N,10/31/2011,1932000000.00,9057000000.00,6.66,293000000.00,289000000.00,347000000.00,1728000000.00,163000000.00,3.25
A.N,7/31/2011,2168000000.00,8753000000.00,6.20,281000000.00,330000000.00,347000000.00,1691000000.00,162000000.00,3.79
A.N,4/30/2011,2144000000.00,8649000000.00,5.47,260000000.00,200000000.00,348000000.00,1677000000.00,165000000.00,2.40
A.N,1/31/2011,2138000000.00,8044000000.00,4.11,198000000.00,193000000.00,345122160.00,1519000000.00,159000000.00,2.18
A.N,10/31/2010,2190000000.00,9696000000.00,3.69,243000000.00,292000000.00,346000000.00,1576000000.00,158000000.00,3.11
AAL.OQ,6/30/2020,28698000000.00,64544000000.00,-18.30,-2659000000.00,-2067000000.00,508556150.00,1622000000.00,NULL,-3.36
AAL.OQ,3/31/2020,21564000000.00,58580000000.00,-20.78,-2890000000.00,-2241000000.00,422886530.00,8515000000.00,NULL,-3.78
AAL.OQ,12/31/2019,21454000000.00,59995000000.00,-14.70,571000000.00,414000000.00,428202510.00,11313000000.00,NULL,0.68
AAL.OQ,9/30/2019,21625000000.00,61175000000.00,-13.76,557000000.00,425000000.00,438035290.00,11911000000.00,NULL,0.69
AAL.OQ,6/30/2019,21791000000.00,61967000000.00,-13.96,882000000.00,662000000.00,445262350.00,11960000000.00,NULL,1.08
AAL.OQ,3/31/2019,20660000000.00,60787000000.00,-15.40,245000000.00,185000000.00,444216230.00,10584000000.00,NULL,0.30
AAL.OQ,12/31/2018,21179000000.00,60580000000.00,-13.89,395000000.00,324000000.00,460610870.00,10938000000.00,NULL,0.57
AAL.OQ,9/30/2018,22274000000.00,52635000000.00,-14.78,496000000.00,372000000.00,460559470.00,11559000000.00,NULL,0.71
AAL.OQ,6/30/2018,21863000000.00,52622000000.00,-15.45,756000000.00,556000000.00,460502100.00,11643000000.00,NULL,1.05
AAL.OQ,3/31/2018,21946000000.00,53280000000.00,-15.62,238000000.00,159000000.00,467390480.00,10401000000.00,NULL,0.30
AAL.OQ,12/31/2017,22511000000.00,52785000000.00,-14.88,408000000.00,240000000.00,475507890.00,10611000000.00,NULL,0.46
AAL.OQ,9/30/2017,22217000000.00,52401000000.00,-4.91,1063000000.00,661000000.00,479999890.00,10965000000.00,NULL,1.25
AAL.OQ,6/30/2017,22525000000.00,53336000000.00,-5.33,1389000000.00,864000000.00,487661920.00,11227000000.00,NULL,1.63
AAL.OQ,3/31/2017,22829000000.00,52627000000.00,-5.79,535000000.00,340000000.00,495749820.00,9820000000.00,NULL,0.65
AAL.OQ,12/31/2016,22489000000.00,51274000000.00,-4.89,500000000.00,289000000.00,507294150.00,9789000000.00,NULL,0.38
AAL.OQ,9/30/2016,21545000000.00,51108000000.00,-3.64,1189000000.00,737000000.00,519161250.00,10594000000.00,NULL,1.44
AAL.OQ,6/30/2016,21131000000.00,51051000000.00,-3.71,1493000000.00,950000000.00,537141490.00,10363000000.00,NULL,1.88
AAL.OQ,3/31/2016,19134000000.00,49909000000.00,-2.76,1117000000.00,700000000.00,585658330.00,9435000000.00,NULL,1.42
AAL.OQ,12/31/2015,18523000000.00,48415000000.00,-1.13,245000000.00,3281000000.00,624622380.00,9630000000.00,NULL,6.76
AAL.OQ,9/30/2015,19026000000.00,48715000000.00,-4.05,1709000000.00,1693000000.00,640107540.00,10706000000.00,NULL,3.51
AAL.OQ,6/30/2015,17360000000.00,47868000000.00,-4.02,1719000000.00,1704000000.00,678288980.00,10827000000.00,NULL,3.60
AAL.OQ,3/31/2015,17913000000.00,46754000000.00,-5.20,943000000.00,932000000.00,693800650.00,9827000000.00,NULL,2.07
AAL.OQ,12/31/2014,16368000000.00,43225000000.00,-6.18,567000000.00,597000000.00,697474540.00,10160000000.00,NULL,1.37
AAL.OQ,9/30/2014,15890000000.00,44173000000.00,-1.98,949000000.00,942000000.00,717257570.00,11139000000.00,NULL,2.12
AAL.OQ,6/30/2014,15620000000.00,44811000000.00,-3.24,1204000000.00,864000000.00,720501650.00,11355000000.00,NULL,1.95
AAL.OQ,3/31/2014,17566000000.00,43737000000.00,-8.17,492000000.00,479000000.00,649953270.00,9996000000.00,NULL,1.11
AAL.OQ,12/31/2013,21281000000.00,42278000000.00,-17.33,-2325000000.00,-2001000000.00,526805520.00,7368000000.00,NULL,-5.80
AAL.OQ,9/30/2013,14489000000.00,26780000000.00,-26.17,289000000.00,289000000.00,335292240.00,6828000000.00,NULL,1.09
AAL.OQ,6/30/2013,13607000000.00,26216000000.00,-27.07,220000000.00,220000000.00,335292240.00,6449000000.00,NULL,0.88
AAL.OQ,3/31/2013,12190000000.00,23852000000.00,-27.56,-364000000.00,-342000000.00,335292240.00,6098000000.00,NULL,-1.44
AAL.OQ,12/31/2012,12030000000.00,23510000000.00,-26.41,-306000000.00,263000000.00,335292240.00,5937000000.00,NULL,1.11
AAL.OQ,9/30/2012,11792000000.00,23927000000.00,-24.61,-238000000.00,-238000000.00,335271560.00,6429000000.00,NULL,-0.97
AAL.OQ,6/30/2012,11917000000.00,24726000000.00,-29.38,-241000000.00,-241000000.00,335271560.00,6452000000.00,NULL,-0.98
AAL.OQ,3/31/2012,11959000000.00,24511000000.00,-28.55,-1660000000.00,-1660000000.00,335271560.00,6037000000.00,NULL,-6.87
