Sector,Res,Emis,Inno,Work,Hum,Comm,Prod,Mgmt,Shar,Csrs
Automobiles & Auto Parts,1,1,1,1,0,0,1,0,1,0
Basic Materials,1,1,0,1,0,0,1,0,1,0
Consumer Non-Cyclicals,1,1,1,0,0,1,1,0,1,1
Cyclical Consumer Products,1,0,1,0,0,0,1,0,1,0
Cyclical Consumer Services,1,0,0,1,0,1,1,0,1,0
Energy,1,1,1,1,1,0,0,1,1,1
Financials,0,0,0,0,0,1,1,1,1,1
Financial Technology (Fintech) & Infrastructure,0,0,0,1,0,1,1,1,1,1
Healthcare,0,0,0,0,1,1,1,1,1,1
Industrial & Commercial Services,0,0,0,1,0,0,1,1,1,0
Industrial Goods,1,1,1,1,0,0,1,1,1,0
Real Estate,1,1,1,0,0,0,1,1,1,0
Retailers,1,0,0,0,0,1,1,0,1,1
Software & IT Services,1,0,0,1,1,1,1,1,1,0
Technology Equipment,1,1,1,1,0,0,1,0,1,0
Telecommunications Services,1,0,0,0,0,1,1,1,1,0
Transportation,0,1,0,1,0,0,0,1,1,0
Utilities,1,1,1,1,0,1,0,0,1,1
