Company,Name,Company Common Name,TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Activity Name
A.N,AGILENT TECH,Agilent Technologies Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC)
AAL.OQ,AMERICN ARLNS GP,American Airlines Group Inc,Industrials,Transportation,Passenger Transportation Services,Regional Airlines
AAP.N,ADV AUTO PARTS,Advance Auto Parts Inc,Consumer Cyclicals,Retailers,Specialty Retailers,Automotive Parts & Accessories Retailers
AAPL.OQ,APPLE INC,Apple Inc,Technology,Technology Equipment,"Computers, Phones & Household Electronics",Phones & Smart Phones
ABBV.N,ABBVIE,Abbvie Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals (NEC)
ABC.N,AMERISOURCEBERGN,Amerisourcebergen Corp,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution (NEC)"
ABMD.OQ,ABIOMED INC,ABIOMED Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC)
ABT.N,ABBOTT LABS,Abbott Laboratories,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution (NEC)"
ACN.N,ACCENTURE PLC,Accenture PLC,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting (NEC)
ADBE.OQ,ADOBE INC,Adobe Inc,Technology,Software & IT Services,Software & IT Services,Application Software
ADI.OQ,ANALOG DEVICES,Analog Devices Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors (NEC)
ADM.N,ARCHER-DANIELS,Archer-Daniels-Midland Co,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing (NEC)
ADP.OQ,AUTOMATIC DATA,Automatic Data Processing Inc,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting (NEC)
ADSK.OQ,AUTODESK INC,Autodesk Inc,Technology,Software & IT Services,Software & IT Services,Application Software
AEE.N,AMEREN CORP,Ameren Corp,Utilities,Utilities,Multiline Utilities,Multiline Utilities
AEP.N,AMER ELEC PWR,American Electric Power Company Inc,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
AES.N,THE AES CORP,AES Corp,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
AFL.N,AFLAC INC,Aflac Inc,Financials,Insurance,Insurance,Life & Health Insurance (NEC)
AIG.N,AMER INTL GROUP,American International Group Inc,Financials,Insurance,Insurance,Multiline Insurance & Brokers (NEC)
AIV.N,APT INV MANAGE,Apartment Investment and Management Co,Financials,Real Estate,Residential & Commercial REITs,Residential REITs
AIZ.N,ASSURANT,Assurant Inc,Financials,Insurance,Insurance,Multiline Insurance & Brokers (NEC)
AJG.N,ARTHUR J GALLAGR,Arthur J Gallagher & Co,Financials,Insurance,Insurance,Insurance Brokers
AKAM.OQ,AKAMAI TECH INC,Akamai Technologies Inc,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting (NEC)
ALB.N,ALBEMARLE,Albemarle Corp,Basic Materials,Chemicals,Chemicals,Commodity Chemicals (NEC)
ALGN.OQ,ALIGN TECH INC,Align Technology Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution (NEC)"
ALK.N,ALASKA AIR GROUP,Alaska Air Group Inc,Industrials,Transportation,Passenger Transportation Services,Airlines (NEC)
ALL.N,ALLSTATE CP,Allstate Corp,Financials,Insurance,Insurance,Property & Casualty Insurance (NEC)
ALLE.N,ALLEGION PLC,Allegion PLC,Technology,Technology Equipment,Communications & Networking,Security & Surveillance
ALXN.OQ,ALEXION PHARM,Alexion Pharmaceuticals Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Biopharmaceuticals
AMAT.OQ,APPLIED MATL,Applied Materials Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Machinery Manufacturing
AMCR.N,AMCOR PLC,Amcor PLC,Basic Materials,Applied Resources,Containers & Packaging,Non-Paper Containers & Packaging (NEC)
AMD.OQ,ADV MICRO DEVICE,Advanced Micro Devices Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors (NEC)
AME.N,AMETEK,AMETEK Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment (NEC)
AMGN.OQ,AMGEN,Amgen Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals (NEC)
AMP.N,AMERIPRISE FINCL,Ameriprise Financial Inc,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators (NEC)
AMT.N,AMER TOWER CP,American Tower Corp,Financials,Real Estate,Residential & Commercial REITs,Specialized REITs (NEC)
AMZN.OQ,AMAZON COM,Amazon.com Inc,Consumer Cyclicals,Retailers,Diversified Retail,Internet & Mail Order Department Stores
ANET.N,ARISTA NETWORKS,Arista Networks Inc,Technology,Technology Equipment,Communications & Networking,Communications & Networking (NEC)
ANSS.OQ,ANSYS INC,ANSYS Inc,Technology,Software & IT Services,Software & IT Services,Application Software
ANTM.N,ANTHEM INC,Anthem Inc,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Managed Healthcare (NEC)
AON.N,AON PLC,Aon PLC,Financials,Insurance,Insurance,Insurance Brokers
AOS.N,A O SMITH,A. O. Smith Corp,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships","Heating, Ventilation & Air Conditioning Systems"
APA.OQ,APACHE CRPTN ORD,Apache Corp,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production (NEC)
APD.N,AIR PRODS & CHEM,Air Products and Chemicals Inc,Basic Materials,Chemicals,Chemicals,Industrial Gases
APH.N,AMPHENOL A,Amphenol Corp,Technology,Technology Equipment,Electronic Equipment & Parts,Electronic Components
APTV.N,APTIV PLC,Aptiv PLC,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts (NEC)"
ARE.N,ALEXANDRIA RE EQ,Alexandria Real Estate Equities Inc,Financials,Real Estate,Residential & Commercial REITs,Commercial REITs (NEC)
ATO.N,ATMOS ENERGY,Atmos Energy Corp,Utilities,Utilities,Natural Gas Utilities,Natural Gas Utilities (NEC)
ATVI.OQ,ACTIVISIN BLIZRD,Activision Blizzard Inc,Technology,Software & IT Services,Software & IT Services,Internet Gaming
AVB.N,AVALONBAY COMM,Avalonbay Communities Inc,Financials,Real Estate,Residential & Commercial REITs,Residential REITs
AVGO.OQ,BROADCOM INC,Broadcom Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors (NEC)
AVY.N,AVERY DENNISON,Avery Dennison Corp,Basic Materials,Applied Resources,Containers & Packaging,Non-Paper Containers & Packaging (NEC)
AWK.N,AMERICN WTR WKS,American Water Works Company Inc,Utilities,Utilities,Water & Related Utilities,Water Supply & Irrigation Systems
AXP.N,AMER EXPRESS CO,American Express Co,Financials,Banking & Investment Services,Banking Services,Consumer Credit Cards Services
AZO.N,AUTOZONE INC,Autozone Inc,Consumer Cyclicals,Retailers,Specialty Retailers,Automotive Parts & Accessories Retailers
BA.N,BOEING CO,Boeing Co,Industrials,Industrial Goods,Aerospace & Defense,Commercial Aircraft Manufacturing
BAC.N,BANK OF AMERICA,Bank of America Corp,Financials,Banking & Investment Services,Banking Services,Banks (NEC)
BAX.N,BAXTER INTL INC,Baxter International Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution (NEC)"
BBY.N,BEST BUY CO INC,Best Buy Co Inc,Consumer Cyclicals,Retailers,Specialty Retailers,Computer & Electronics Retailers (NEC)
BDX.N,BECTON DICKINSN,Becton Dickinson and Co,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution (NEC)"
BEN.N,FRANKLIN RES,Franklin Resources Inc,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management
BFb.N,BROWN FORMAN B,Brown-Forman Corp,Consumer Non-Cyclicals,Food & Beverages,Beverages,Distillers & Wineries (NEC)
BIIB.OQ,BIOGEN INC,Biogen Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Biopharmaceuticals
