"","Company","debt","assets","bps","ni_bef_tax","ni_aft_tax","shares_out","revenue","rnd","roa","Year","esg_score","esg_comb_score","esgc_score","Quarter_year","Price","Date","Sector","nips","ltda","rdps","weights_sum","primary_csr_score","weights_sum_sec","secondary_csr_score"
"1","A.N",1.799e+09,8.541e+09,3.47,2.44e+08,2.14e+08,3.18e+08,1.294e+09,1.04e+08,2.53,2018,87.85535383,87.85535383,100,2018.4,67.46,2018-10-31,"Healthcare",0.672955974842767,0.210631073644772,0.327044025157233,0.84,84.8363622220833,0.16,92.77456647
"2","A.N",1.799e+09,8.349e+09,3.5,2.42e+08,2.36e+08,3.19e+08,1.203e+09,9.7e+07,2.75,2018,87.85535383,87.85535383,100,2018.3,70.54,2018-07-31,"Healthcare",0.739811912225705,0.215474907174512,0.304075235109718,0.84,84.8363622220833,0.16,92.77456647
"3","A.N",1.8e+09,8.784e+09,5.22,2.27e+08,2.05e+08,3.22e+08,1.206e+09,9.2e+07,2.35,2018,87.85535383,87.85535383,100,2018.2,61.84,2018-04-30,"Healthcare",0.636645962732919,0.204918032786885,0.285714285714286,0.84,84.8363622220833,0.16,92.77456647
"4","A.N",1.8e+09,8.698e+09,4.79,2.33e+08,2.13e+08,322963000,1.211e+09,9.3e+07,2.49,2018,87.85535383,87.85535383,100,2018.1,66.9,2018-01-31,"Healthcare",0.659518272991024,0.206944125086227,0.287958682573546,0.84,84.8363622220833,0.16,92.77456647
"5","A.N",1.801e+09,8.426e+09,5.79,2.26e+08,1.77e+08,3.22e+08,1.189e+09,9.1e+07,2.12,2017,86.63413562,86.63413562,100,2017.4,66.97,2017-10-31,"Healthcare",0.549689440993789,0.213743175884168,0.282608695652174,0.84,83.3955625473214,0.16,93
"6","A.N",1.801e+09,8.261e+09,5.03,1.93e+08,1.75e+08,3.22e+08,1.114e+09,8.7e+07,2.15,2017,86.63413562,86.63413562,100,2017.3,64.2,2017-07-31,"Healthcare",0.543478260869565,0.218012347173466,0.270186335403727,0.84,83.3955625473214,0.16,93
"7","A.N",1.802e+09,8.016e+09,4.46,1.91e+08,1.64e+08,3.21e+08,1.102e+09,8.4e+07,2.06,2017,86.63413562,86.63413562,100,2017.2,59.31,2017-04-30,"Healthcare",0.510903426791277,0.224800399201597,0.261682242990654,0.84,83.3955625473214,0.16,93
"8","A.N",1.802e+09,7.872e+09,4.11,1.93e+08,1.68e+08,3.22e+08,1.067e+09,7.9e+07,2.14,2017,86.63413562,86.63413562,100,2017.1,52.87,2017-01-31,"Healthcare",0.521739130434783,0.228912601626016,0.245341614906832,0.84,83.3955625473214,0.16,93
"9","A.N",1.904e+09,7.794e+09,4.04,1.51e+08,1.26e+08,3.24e+08,1.111e+09,8.4e+07,1.62,2016,88.3765551,88.3765551,100,2016.4,45.56,2016-10-31,"Healthcare",0.388888888888889,0.2442904798563,0.259259259259259,0.84,84.9049347658333,0.16,90.87591241
"10","A.N",1.652e+09,7.734e+09,4.25,1.34e+08,1.24e+08,3.24e+08,1.044e+09,8.6e+07,1.61,2016,88.3765551,88.3765551,100,2016.3,47.09,2016-07-31,"Healthcare",0.382716049382716,0.213602275665891,0.265432098765432,0.84,84.9049347658333,0.16,90.87591241
"11","A.N",1.654e+09,7.64e+09,3.43,1.17e+08,9.1e+07,3.25e+08,1.019e+09,8.1e+07,1.22,2016,88.3765551,88.3765551,100,2016.2,44.36,2016-04-30,"Healthcare",0.28,0.216492146596859,0.249230769230769,0.84,84.9049347658333,0.16,90.87591241
"12","A.N",1.653e+09,7.302e+09,3.21,1.42e+08,1.21e+08,3.28e+08,1.028e+09,7.8e+07,1.64,2016,88.3765551,88.3765551,100,2016.1,39.85,2016-01-31,"Healthcare",0.36890243902439,0.226376335250616,0.23780487804878,0.84,84.9049347658333,0.16,90.87591241
