"","Company","debt","assets","bps","ni_bef_tax","ni_aft_tax","shares_out","revenue","rnd","roa","Year","ESG.Score","ESG.Combined.Score","ESG.Controversies.Score","res_use_score","emis_score","env_inno_score","workf_score","hum_r_score","comm_score","prod_score","mgmt_score","shar_score","csrs_score","Quarter_year","Price","Date","Sector","nips","ltda","rdps","w_res","w_emis","w_inno","w_work","w_hum","w_comm","w_prod","w_mgmt","w_shar","w_csrs","weights_sum","primary_csr_score","weights_sum_sec","secondary_csr_score"
"1","A.N",1.904e+09,7.794e+09,4.04,1.51e+08,1.26e+08,3.24e+08,1.111e+09,8.4e+07,1.62,2016,88.3765551,88.3765551,100,93.07692308,87.25490196,50,90.87591241,93.28358209,94.52554745,92.69230769,89.99139044,84.99784761,84.76923077,2016.4,45.56,2016-10-31,"Healthcare",0.388888888888889,0.2442904798563,0.259259259259259,0.11,0.12,0.11,0.16,0.045,0.08,0.07,0.19,0.07,0.045,0.84,84.9049347658333,0.16,90.87591241
"2","A.N",1.652e+09,7.734e+09,4.25,1.34e+08,1.24e+08,3.24e+08,1.044e+09,8.6e+07,1.61,2016,88.3765551,88.3765551,100,93.07692308,87.25490196,50,90.87591241,93.28358209,94.52554745,92.69230769,89.99139044,84.99784761,84.76923077,2016.3,47.09,2016-07-31,"Healthcare",0.382716049382716,0.213602275665891,0.265432098765432,0.11,0.12,0.11,0.16,0.045,0.08,0.07,0.19,0.07,0.045,0.84,84.9049347658333,0.16,90.87591241
"3","A.N",1.654e+09,7.64e+09,3.43,1.17e+08,9.1e+07,3.25e+08,1.019e+09,8.1e+07,1.22,2016,88.3765551,88.3765551,100,93.07692308,87.25490196,50,90.87591241,93.28358209,94.52554745,92.69230769,89.99139044,84.99784761,84.76923077,2016.2,44.36,2016-04-30,"Healthcare",0.28,0.216492146596859,0.249230769230769,0.11,0.12,0.11,0.16,0.045,0.08,0.07,0.19,0.07,0.045,0.84,84.9049347658333,0.16,90.87591241
"4","A.N",1.653e+09,7.302e+09,3.21,1.42e+08,1.21e+08,3.28e+08,1.028e+09,7.8e+07,1.64,2016,88.3765551,88.3765551,100,93.07692308,87.25490196,50,90.87591241,93.28358209,94.52554745,92.69230769,89.99139044,84.99784761,84.76923077,2016.1,39.85,2016-01-31,"Healthcare",0.36890243902439,0.226376335250616,0.23780487804878,0.11,0.12,0.11,0.16,0.045,0.08,0.07,0.19,0.07,0.045,0.84,84.9049347658333,0.16,90.87591241
"5","A.N",1.655e+09,7.479e+09,4.08,1.43e+08,1.43e+08,3.32e+08,1.035e+09,7.8e+07,1.94,2015,78.47707115,78.47707115,100,78.44827586,90.625,50,88.58695652,81,89.67391304,90.22988506,64.0858209,76.77238806,84.91666667,2015.4,41.81,2015-10-31,"Healthcare",0.430722891566265,0.221286268217676,0.234939759036145,0.11,0.12,0.11,0.16,0.045,0.08,0.07,0.19,0.07,0.045,0.84,75.6082600920833,0.16,88.58695652
"6","A.N",1.655e+09,7.251e+09,3.77,1.28e+08,1.13e+08,3.32e+08,1.014e+09,7.9e+07,1.54,2015,78.47707115,78.47707115,100,78.44827586,90.625,50,88.58695652,81,89.67391304,90.22988506,64.0858209,76.77238806,84.91666667,2015.3,34.33,2015-07-31,"Healthcare",0.340361445783133,0.228244380085505,0.237951807228916,0.11,0.12,0.11,0.16,0.045,0.08,0.07,0.19,0.07,0.045,0.84,75.6082600920833,0.16,88.58695652
"7","A.N",1.656e+09,7.412e+09,3.91,9.6e+07,9.2e+07,3.33e+08,9.63e+08,8.1e+07,1.23,2015,78.47707115,78.47707115,100,78.44827586,90.625,50,88.58695652,81,89.67391304,90.22988506,64.0858209,76.77238806,84.91666667,2015.2,38.58,2015-04-30,"Healthcare",0.276276276276276,0.223421478683216,0.243243243243243,0.11,0.12,0.11,0.16,0.045,0.08,0.07,0.19,0.07,0.045,0.84,75.6082600920833,0.16,88.58695652
"8","A.N",1.658e+09,7.519e+09,3.95,1.13e+08,9.3e+07,3.36e+08,1.026e+09,8.8e+07,1.01,2015,78.47707115,78.47707115,100,78.44827586,90.625,50,88.58695652,81,89.67391304,90.22988506,64.0858209,76.77238806,84.91666667,2015.1,41.55,2015-01-31,"Healthcare",0.276785714285714,0.22050804628275,0.261904761904762,0.11,0.12,0.11,0.16,0.045,0.08,0.07,0.19,0.07,0.045,0.84,75.6082600920833,0.16,88.58695652
"9","A.N",1.663e+09,1.0815e+10,6.4,-2.2e+07,8e+06,3.35e+08,1.043e+09,9.1e+07,0.08,2014,83.33390557,83.33390557,95.23809524,76.66666667,91.25,50,86.71875,82.89473684,89.84375,94.06779661,83.03941909,72.04356846,86.45640074,2014.4,40.94,2014-10-31,"Healthcare",0.0238805970149254,0.153767914932963,0.271641791044776,0.11,0.12,0.11,0.16,0.045,0.08,0.07,0.19,0.07,0.045,0.84,79.8772853652381,0.16,86.71875
"10","A.N",2.181e+09,1.038e+10,5.61,8.5e+07,6.3e+07,3.33e+08,1.009e+09,8.6e+07,0.59,2014,83.33390557,83.33390557,95.23809524,76.66666667,91.25,50,86.71875,82.89473684,89.84375,94.06779661,83.03941909,72.04356846,86.45640074,2014.3,40.74565726,2014-07-31,"Healthcare",0.189189189189189,0.210115606936416,0.258258258258258,0.11,0.12,0.11,0.16,0.045,0.08,0.07,0.19,0.07,0.045,0.84,79.8772853652381,0.16,86.71875
