"Name","Date","TRESGScore","TRESGCScore","TRESGCControversiesScore","TRESGResourceUseScore","TRESGEmissionsScore","TRESGInnovationScore","TRESGWorkforceScore","TRESGHumanRightsScore","TRESGCommunityScore","TRESGProductResponsibilityScore","TRESGManagementScore","TRESGShareholdersScore","TRESGCSRStrategyScore","Shareprice","TotalLongTermDebt","TotalAssets","TangibleBookValuePerShare","NetIncomeBeforeTaxes","NetIncomeAfterTaxes","TotalCommonSharesOutstanding","Revenue","ResearchAndDevelopment","RDPS","PrimaryCSRscore","SecondaryCSRscore"
"A.N","2016-10-31","0.77409","0.46517","0.15625","0.83854","0.94271","0.86979","0.89062","0.96354","0.63021","0.91146","0.53007","0.43265","0.93265","45.56000","1904000000.00000","7794000000.00000","4.06790","151000000.00000","126000000.00000","324000000.00000","1111000000.00000","84000000.00000","0.25926","0.75188966693989","0.890625"
"A.N","2016-07-31","0.77409","0.46517","0.15625","0.83854","0.94271","0.86979","0.89062","0.96354","0.63021","0.91146","0.53007","0.43265","0.93265","47.09000","1652000000.00000","7734000000.00000","4.24691","134000000.00000","124000000.00000","324000000.00000","1044000000.00000","86000000.00000","0.26543","0.75188966693989","0.890625"
"A.N","2016-04-30","0.77409","0.46517","0.15625","0.83854","0.94271","0.86979","0.89062","0.96354","0.63021","0.91146","0.53007","0.43265","0.93265","44.36000","1654000000.00000","7640000000.00000","3.43385","117000000.00000","91000000.00000","325000000.00000","1019000000.00000","81000000.00000","0.24923","0.75188966693989","0.890625"
"A.N","2016-01-31","0.77409","0.46517","0.15625","0.83854","0.94271","0.86979","0.89062","0.96354","0.63021","0.91146","0.53007","0.43265","0.93265","39.85000","1653000000.00000","7302000000.00000","3.21341","142000000.00000","121000000.00000","328000000.00000","1028000000.00000","78000000.00000","0.23780","0.75188966693989","0.890625"
"A.N","2015-10-31","0.83976","0.54488","0.25000","0.82031","0.88281","0.82812","0.89844","0.93750","0.82031","0.89062","0.88114","0.43581","0.90371","41.81000","1655000000.00000","7479000000.00000","4.08434","143000000.00000","143000000.00000","332000000.00000","1035000000.00000","78000000.00000","0.23494","0.82858648490113","0.8984375"
"A.N","2015-07-31","0.83976","0.54488","0.25000","0.82031","0.88281","0.82812","0.89844","0.93750","0.82031","0.89062","0.88114","0.43581","0.90371","34.33000","1655000000.00000","7251000000.00000","3.77410","128000000.00000","113000000.00000","332000000.00000","1014000000.00000","79000000.00000","0.23795","0.82858648490113","0.8984375"
"A.N","2015-04-30","0.83976","0.54488","0.25000","0.82031","0.88281","0.82812","0.89844","0.93750","0.82031","0.89062","0.88114","0.43581","0.90371","38.58000","1656000000.00000","7412000000.00000","3.90691","96000000.00000","92000000.00000","333000000.00000","963000000.00000","81000000.00000","0.24324","0.82858648490113","0.8984375"
"A.N","2015-01-31","0.83976","0.54488","0.25000","0.82031","0.88281","0.82812","0.89844","0.93750","0.82031","0.89062","0.88114","0.43581","0.90371","41.55000","1658000000.00000","7519000000.00000","3.94643","113000000.00000","93000000.00000","336000000.00000","1026000000.00000","88000000.00000","0.26190","0.82858648490113","0.8984375"
"A.N","2014-10-31","0.83724","0.75733","0.67742","0.83065","0.87903","0.79839","0.81452","0.95161","0.91129","0.88710","0.87449","0.54217","0.89583","40.94000","1663000000.00000","10815000000.00000","6.40299","-22000000.00000","8000000.00000","335000000.00000","1043000000.00000","91000000.00000","0.27164","0.84156927506775","0.81451612903226"
"A.N","2014-07-31","0.83724","0.75733","0.67742","0.83065","0.87903","0.79839","0.81452","0.95161","0.91129","0.88710","0.87449","0.54217","0.89583","40.74566","2181000000.00000","10380000000.00000","5.60661","85000000.00000","63000000.00000","333000000.00000","1009000000.00000","86000000.00000","0.25826","0.84156927506775","0.81451612903226"
"A.N","2014-04-30","0.83724","0.75733","0.67742","0.83065","0.87903","0.79839","0.81452","0.95161","0.91129","0.88710","0.87449","0.54217","0.89583","41.07460","2693000000.00000","11026000000.00000","5.20721","69000000.00000","40000000.00000","333000000.00000","988000000.00000","87000000.00000","0.26126","0.84156927506775","0.81451612903226"
"A.N","2014-01-31","0.83724","0.75733","0.67742","0.83065","0.87903","0.79839","0.81452","0.95161","0.91129","0.88710","0.87449","0.54217","0.89583","39.98767","2695000000.00000","10638000000.00000","4.69461","97000000.00000","121000000.00000","334000000.00000","1008000000.00000","88000000.00000","0.26347","0.84156927506775","0.81451612903226"
